drug_name,brand_name,manufacturer,dosage_form,price,expiry_date,batch_number,storage_condition
Paracetamol,Crocin,GSK,Tablet,50,2025-12-31,BATCH001,Room temperature
Ibuprofen,Brufen,Abbott,Tablet,80,2026-06-30,BATCH002,Cool dry place
Aspirin,Disprin,Bayer,Tablet,45,2025-10-15,BATCH003,Room temperature
Amoxicillin,Amoxil,GSK,Capsule,120,2025-08-20,BATCH004,Refrigerate
Metformin,Glucophage,Merck,Tablet,60,2026-03-15,BATCH005,Room temperature
Atorvastatin,Lipitor,Pfizer,Tablet,150,2026-01-10,BATCH006,Cool dry place
Omeprazole,Prilosec,AstraZeneca,Capsule,90,2025-11-25,BATCH007,Room temperature
Losartan,Cozaar,Merck,Tablet,110,2026-04-18,BATCH008,Cool dry place
Amlodipine,Norvasc,Pfizer,Tablet,95,2026-02-28,BATCH009,Room temperature
Levothyroxine,Synthroid,Abbott,Tablet,70,2025-09-12,BATCH010,Cool dry place
