drug_name,brand_name,drug_class,manufacturer,symptoms,indications,mechanism_of_action,dosage_strength,dosage_form,route,side_effects,reference_url
paracetamol,crocin,analgesic,GSK,"Fever, Headache, Body Pain","","Inhibits prostaglandin synthesis",500mg,Tablet,Oral,Nausea,https://www.drugs.com/paracetamol.html
ibuprofen,brufen,nsaid,Abbott,"Pain, Inflammation, Fever","","COX inhibitor",400mg,Tablet,Oral,Stomach upset,https://www.drugs.com/ibuprofen.html
amoxicillin,amoxil,antibiotic,Cipla,"","Bacterial infections","Inhibits cell wall synthesis",500mg,Capsule,Oral,Diarrhea,https://www.drugs.com/amoxicillin.html
azithromycin,azithral,antibiotic,Alembic,"Respiratory infection","Bacterial infections","Protein synthesis inhibitor",250mg,Tablet,Oral,Nausea,https://www.drugs.com/azithromycin.html
metformin,glucophage,antidiabetic,Sun Pharma,"","Type 2 Diabetes","Decreases glucose production",500mg,Tablet,Oral,Diarrhea,https://www.drugs.com/metformin.html
aspirin,disprin,analgesic,Bayer,"Pain, Fever","Cardiovascular disease prevention","Inhibits platelet aggregation",75mg,Tablet,Oral,Bleeding risk,https://www.drugs.com/aspirin.html
omeprazole,prilosec,ppi,AstraZeneca,"Heartburn, Acid reflux","GERD, Ulcers","Proton pump inhibitor",20mg,Capsule,Oral,Headache,https://www.drugs.com/omeprazole.html
cetirizine,zyrtec,antihistamine,UCB,"Itching, Sneezing, Runny nose","","H1 receptor antagonist",10mg,Tablet,Oral,Drowsiness,https://www.drugs.com/cetirizine.html
lisinopril,prinivil,ace inhibitor,Merck,"","Hypertension, Heart failure","ACE inhibitor",10mg,Tablet,Oral,Dizziness,https://www.drugs.com/lisinopril.html
atorvastatin,lipitor,statin,Pfizer,"","High cholesterol","HMG-CoA reductase inhibitor",20mg,Tablet,Oral,Muscle pain,https://www.drugs.com/atorvastatin.html
salbutamol,ventolin,bronchodilator,GSK,"Wheezing, Shortness of breath","Asthma, COPD","Beta-2 agonist",100mcg,Inhaler,Inhalation,Tremor,https://www.drugs.com/salbutamol.html
diclofenac,voltaren,nsaid,Novartis,"Pain, Inflammation, Swelling","","COX inhibitor",50mg,Tablet,Oral,Stomach upset,https://www.drugs.com/diclofenac.html
ciprofloxacin,cipro,antibiotic,Bayer,"","Bacterial infections","DNA gyrase inhibitor",500mg,Tablet,Oral,Nausea,https://www.drugs.com/ciprofloxacin.html
losartan,cozaar,arb,Merck,"","Hypertension","Angiotensin II receptor blocker",50mg,Tablet,Oral,Dizziness,https://www.drugs.com/losartan.html
amlodipine,norvasc,calcium channel blocker,Pfizer,"","Hypertension, Angina","Calcium channel blocker",5mg,Tablet,Oral,Swelling,https://www.drugs.com/amlodipine.html
levothyroxine,synthroid,thyroid hormone,Abbott,"","Hypothyroidism","Thyroid hormone replacement",50mcg,Tablet,Oral,Weight loss,https://www.drugs.com/levothyroxine.html
montelukast,singulair,leukotriene inhibitor,Merck,"","Asthma, Allergic rhinitis","Leukotriene receptor antagonist",10mg,Tablet,Oral,Headache,https://www.drugs.com/montelukast.html
ranitidine,zantac,h2 blocker,GSK,"Heartburn, Acid reflux","Ulcers, GERD","H2 receptor antagonist",150mg,Tablet,Oral,Headache,https://www.drugs.com/ranitidine.html
doxycycline,vibramycin,antibiotic,Pfizer,"","Bacterial infections","Protein synthesis inhibitor",100mg,Capsule,Oral,Nausea,https://www.drugs.com/doxycycline.html
prednisone,deltasone,corticosteroid,Pfizer,"Inflammation, Swelling","Autoimmune diseases","Immunosuppressant",5mg,Tablet,Oral,Weight gain,https://www.drugs.com/prednisone.html
